Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
"Rp2,3 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Sertifikat Hak Milik,"Rp26,7 Jt/m²"
Rp550 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
Rp3 M,Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 190m,Hak Guna Bangunan,"Rp15,8 Jt/m²"
Rp5 M,Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 300m,Hak Guna Bangunan,"Rp16,7 Jt/m²"
Rp750 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 31m,N/A,"Rp24,2 Jt/m²"
Rp770 Jt,Kel. Gambir,Kec. Gambir,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,"Rp20,3 Jt/m²"
Rp242 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp6,7 Jt/m²"
Rp282 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp7,8 Jt/m²"
Rp182 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,Luas Bangunan 25m²,Strata,N/A,"Rp7,3 Jt/m²"
Rp262 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,Luas Bangunan 36m²,Strata,N/A,"Rp7,3 Jt/m²"
Rp282 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp7,8 Jt/m²"
Rp390 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 33m,Strata,"Rp11,8 Jt/m²"
"Rp1,8 M",Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 73m,Strata,"Rp24,7 Jt/m²"
Rp1 M,Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 146m,Strata,"Rp6,8 Jt/m²"
"Rp2,5 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 87m,N/A,"Rp28,7 Jt/m²"
Rp500 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp15,2 Jt/m²"
Rp800 Jt,Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 40m,Strata,Rp20 Jt/m²
Rp399 Jt,Kel. Kebon Kosong,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp11,1 Jt/m²"
Rp875 Jt,Kel. Tebet Barat,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 54m,Strata,"Rp16,2 Jt/m²"
"Rp999,9 Jt",Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 65m,N/A,"Rp15,4 Jt/m²"
Rp2 M,Kel. Pinangsia,Kec. Taman Sari,Kota Jakarta Barat,4 Kamar Tidur,Luas Bangunan 135m,Sertifikat Hak Milik,"Rp14,8 Jt/m²"
Rp200 M,Kel. Mampang Prapatan,Kec. Mampang Prapatan,Kota Jakarta Selatan,5757 Kamar Tidur,Luas Bangunan 13494m,Hak Guna Bangunan,"Rp14,8 Jt/m²"
Rp700 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 42m,Strata,"Rp16,7 Jt/m²"
Rp850 Jt,Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 69m,Strata,"Rp12,3 Jt/m²"
"Rp1,8 M",Kel. Cengkareng Barat,Kec. Cengkareng,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 63m,N/A,"Rp28,6 Jt/m²"
"Rp1,2 M",Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 40m,N/A,Rp30 Jt/m²
Rp550 Jt,Kel. Kalibata,Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 36m,Hak Guna Bangunan,"Rp15,3 Jt/m²"
"Rp1,2 M",Kel. Duren Tiga,Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 38m,Strata,"Rp31,6 Jt/m²"
Rp399 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Hak Guna Bangunan,"Rp11,4 Jt/m²"
Rp495 Jt,Kel. Tengah (Kampung Tengah),Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 60m,Sertifikat Hak Milik,"Rp8,3 Jt/m²"
Rp350 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 20m,Hak Guna Bangunan,"Rp17,5 Jt/m²"
"Rp2,8 M",Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 52m,N/A,"Rp53,8 Jt/m²"
Rp1 M,Kel. Sukabumi Selatan (Udik),Kec. Kebon Jeruk,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 68m,Sertifikat Hak Milik,"Rp14,7 Jt/m²"
Rp5 M,Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 300m,Sertifikat Hak Milik,"Rp16,7 Jt/m²"
Rp945 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp22,5 Jt/m²"
"Rp2,5 M",Kel. Mampang Prapatan,Kec. Mampang Prapatan,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 150m,Hak Guna Bangunan,"Rp16,7 Jt/m²"
"Rp2,5 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 87m,Sertifikat Hak Milik,"Rp28,7 Jt/m²"
Rp1 M,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 65m,Strata,"Rp16,4 Jt/m²"
Rp1 M,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 48m,Strata,"Rp20,8 Jt/m²"
Rp480 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 35m,Strata,"Rp13,7 Jt/m²"
Rp1 M,Kel. Kembangan Selatan,Kec. Kembangan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 63m,N/A,"Rp16,7 Jt/m²"
Rp270 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp8,2 Jt/m²"
Rp2 M,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp55,6 Jt/m²"
Rp950 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp22,6 Jt/m²"
Rp750 Jt,Kel. Bendungan Hilir,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 36m,N/A,"Rp20,8 Jt/m²"
Rp350 Jt,Kel. Pengadegan,Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 25m,N/A,Rp14 Jt/m²
Rp770 Jt,Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,"Rp20,3 Jt/m²"
Rp275 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 21m,Strata,"Rp13,1 Jt/m²"
Rp350 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 20m,Hak Guna Bangunan,"Rp17,5 Jt/m²"
Rp250 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 21m,Strata,"Rp11,9 Jt/m²"
"Rp1,2 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 54m,Strata,"Rp23,1 Jt/m²"
"Rp1,2 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 54m,Strata,"Rp23,1 Jt/m²"
Rp3 M,Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 190m,Sertifikat Hak Milik,"Rp15,8 Jt/m²"
Rp300 Jt,Kel. Kebon Kacang,Kec. Tanah Abang,Kota Jakarta Pusat,Luas Bangunan 21m²,Sertifikat Hak Milik,N/A,"Rp14,3 Jt/m²"
"Rp5,2 M",Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 146m,N/A,"Rp35,6 Jt/m²"
Rp750 Jt,Kel. Bendungan Hilir,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 36m,N/A,"Rp20,8 Jt/m²"
"Rp1,6 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 90m,Sertifikat Hak Milik,"Rp17,8 Jt/m²"
Rp490 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,"Rp14,8 Jt/m²"
"Rp1,6 M",Kel. Cempaka Putih Timur,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 76m,N/A,"Rp22,1 Jt/m²"
Rp350 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 20m,Hak Guna Bangunan,"Rp17,5 Jt/m²"
"Rp5,4 M",Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 148m,N/A,"Rp36,5 Jt/m²"
Rp2 M,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 97m,Sertifikat Hak Milik,"Rp20,6 Jt/m²"
Rp5 M,Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 97m,Sertifikat Hak Milik,"Rp51,5 Jt/m²"
"Rp2,5 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 87m,Sertifikat Hak Milik,"Rp28,7 Jt/m²"
Rp415 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 21m,N/A,"Rp19,8 Jt/m²"
Rp490 Jt,Kel. Srengseng,Kec. Kembangan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 32m,Strata,"Rp15,3 Jt/m²"
Rp495 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 35m,Strata,"Rp14,1 Jt/m²"
"Rp3,5 M",Kel. Cempaka Putih Timur,Kec. Cempaka Putih,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 100m,N/A,Rp35 Jt/m²
"Rp4,5 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 196m,N/A,Rp23 Jt/m²
"Rp4,2 M",Kec. Kelapa Gading,Kota Jakarta Utara,N/A,3 Kamar Tidur,Luas Bangunan 158m,Hak Guna Bangunan,"Rp26,9 Jt/m²"
"Rp2,5 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 87m,Sertifikat Hak Milik,"Rp28,7 Jt/m²"
"Rp1,1 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 52m,Strata,"Rp22,1 Jt/m²"
"Rp1,2 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 76m,N/A,Rp16 Jt/m²
"Rp1,2 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 35m,N/A,"Rp36,6 Jt/m²"
"Rp1,3 M",Kel. Slipi,Kec. Pal Merah (Palmerah),Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 118m,Hak Guna Bangunan,"Rp11,4 Jt/m²"
Rp925 Jt,Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 47m,Hak Guna Bangunan,"Rp19,7 Jt/m²"
"Rp1,8 M",Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 61m,Hak Guna Bangunan,"Rp29,5 Jt/m²"
"Rp8,2 M",Kec. Kebayoran Lama,Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 159m,N/A,"Rp51,6 Jt/m²"
Rp950 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp22,6 Jt/m²"
Rp265 Jt,Kel. Pondok Bambu,Kec. Duren Sawit,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp7,8 Jt/m²"
Rp430 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Hak Guna Bangunan,Rp13 Jt/m²
Rp875 Jt,Kel. Cikini,Kec. Menteng,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 28m,N/A,"Rp31,3 Jt/m²"
Rp570 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 40m,N/A,"Rp14,3 Jt/m²"
"Rp1,7 M",Kel. Kebon Kacang,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 65m,Sertifikat Hak Milik,"Rp26,9 Jt/m²"
"Rp1,2 M",Kel. Kebon Kacang,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp29,8 Jt/m²"
"Rp2,4 M",Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 102m,Strata,"Rp23,5 Jt/m²"
Rp800 Jt,Kel. Kebon Kacang,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 40m,Strata,Rp20 Jt/m²
"Rp1,2 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,Rp26 Jt/m²
Rp389 Jt,Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp11,8 Jt/m²"
"Rp1,1 M",Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 3763m,N/A,Rp292 Rb/m²
Rp495 Jt,Kel. Cipulir,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 38m,Strata,Rp13 Jt/m²
"Rp4,4 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 129m,Hak Guna Bangunan,"Rp34,1 Jt/m²"
"Rp2,8 M",Kel. Cikini,Kec. Menteng,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 62m,Hak Guna Bangunan,Rp46 Jt/m²
Rp225 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 36m,N/A,"Rp6,3 Jt/m²"
"Rp2,2 M",Kel. Bendungan Hilir,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 86m,Sertifikat Hak Milik,"Rp25,6 Jt/m²"
Rp385 Jt,Kel. Cipulir,Kec. Kebayoran Lama,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 22m,Strata,"Rp17,5 Jt/m²"
"Rp1,9 M",Kel. Slipi,Kec. Pal Merah (Palmerah),Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 129m,Sertifikat Hak Milik,"Rp15,5 Jt/m²"
Rp310 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,N/A,"Rp8,9 Jt/m²"
Rp900 Jt,Kel. Tebet Barat,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 41m,Hak Guna Bangunan,Rp22 Jt/m²
Rp800 Jt,Kel. Tebet Barat,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 31m,Hak Guna Bangunan,"Rp25,8 Jt/m²"
"Rp2,7 M",Kel. Pondok Pinang,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 135m,Strata,"Rp20,4 Jt/m²"
"Rp1,4 M",Kel. Cipinang Cempedak,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 81m,Sertifikat Hak Milik,"Rp17,3 Jt/m²"
Rp300 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Hak Guna Bangunan,"Rp8,6 Jt/m²"
Rp700 Jt,Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 40m,Sertifikat Hak Milik,"Rp17,5 Jt/m²"
"Rp1,5 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 69m,Sertifikat Hak Milik,"Rp21,7 Jt/m²"
Rp850 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 68m,Hak Guna Bangunan,"Rp12,5 Jt/m²"
Rp430 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp10,2 Jt/m²"
"Rp3,2 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 137m,N/A,"Rp23,4 Jt/m²"
"Rp6,2 M",Kel. Kebon Kacang,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 158m,Hak Guna Bangunan,"Rp39,2 Jt/m²"
Rp225 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 30m,Sertifikat Hak Milik,"Rp7,5 Jt/m²"
Rp245 Jt,Kel. Jatinegara,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp6,8 Jt/m²"
"Rp1,3 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,"Rp21,7 Jt/m²"
Rp805 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp16,8 Jt/m²"
Rp800 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp16,7 Jt/m²"
Rp130 Jt,Kel. Pekayon,Kec. Pasar Rebo,Kota Jakarta Timur,Luas Bangunan 22m²,Hak Guna Bangunan,N/A,"Rp5,9 Jt/m²"
Rp505 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 29m,Sertifikat Hak Milik,"Rp17,4 Jt/m²"
"Rp2,2 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 127m,Sertifikat Hak Milik,"Rp17,3 Jt/m²"
Rp550 Jt,Kel. Ancol,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 43m,Sertifikat Hak Milik,"Rp12,8 Jt/m²"
Rp5 M,Kel. Menteng,Kec. Menteng,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 225m,N/A,"Rp22,2 Jt/m²"
Rp350 Jt,Kel. Kebagusan,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 21m,Sertifikat Hak Milik,"Rp16,7 Jt/m²"
"Rp1,7 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 52m,Strata,"Rp32,7 Jt/m²"
Rp850 Jt,Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp23,6 Jt/m²"
Rp4 M,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 125m,N/A,Rp32 Jt/m²
Rp400 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,Luas Bangunan 15m²,Strata,N/A,"Rp26,7 Jt/m²"
Rp2 M,Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 84m,Strata,"Rp23,8 Jt/m²"
Rp950 Jt,Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 26m,Strata,"Rp36,5 Jt/m²"
Rp450 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 43m,N/A,"Rp10,5 Jt/m²"
Rp650 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 28m,N/A,"Rp23,2 Jt/m²"
Rp330 Jt,Kel. Kedoya Utara,Kec. Kebon Jeruk,Kota Jakarta Barat,Luas Bangunan 26m²,Strata,N/A,"Rp12,7 Jt/m²"
Rp5 M,Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 254m,Sertifikat Hak Milik,"Rp19,7 Jt/m²"
"Rp7,5 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 160m,Strata,"Rp46,9 Jt/m²"
Rp550 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
Rp900 Jt,Kel. Cengkareng Barat,Kec. Cengkareng,Kota Jakarta Barat,Luas Bangunan 38m²,Strata,N/A,"Rp23,7 Jt/m²"
Rp380 Jt,Kel. Srengseng,Kec. Kembangan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 32m,Strata,"Rp11,9 Jt/m²"
Rp165 Jt,Kel. Penggilingan,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp4,6 Jt/m²"
"Rp3,5 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 154m,Sertifikat Hak Milik,"Rp22,7 Jt/m²"
Rp900 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 50m,Sertifikat Hak Milik,Rp18 Jt/m²
"Rp4,3 M",Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 159m,Strata,Rp27 Jt/m²
Rp570 Jt,Kel. Cakung Timur,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 32m,N/A,"Rp17,8 Jt/m²"
Rp725 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,Luas Bangunan 26m²,Strata,N/A,"Rp27,9 Jt/m²"
"Rp4,9 M",Kec. Tebet,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 151m,N/A,"Rp32,5 Jt/m²"
Rp800 Jt,Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp21,6 Jt/m²"
"Rp1,3 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 63m,Sertifikat Hak Milik,"Rp21,4 Jt/m²"
Rp3 M,Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 121m,Sertifikat Hak Milik,"Rp24,8 Jt/m²"
Rp460 Jt,Kel. Kali Anyar,Kec. Tambora,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,N/A,Rp11 Jt/m²
"Rp1,2 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 71m,Sertifikat Hak Milik,"Rp18,1 Jt/m²"
Rp45 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,N/A,"Rp1,3 Jt/m²"
Rp530 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp15,6 Jt/m²"
"Rp14,5 M",Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 276m,Hak Guna Bangunan,"Rp52,5 Jt/m²"
