Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
Rp450 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,"Rp13,6 Jt/m²"
Rp300 Jt,Kel. Kebagusan,Kec. Pasar Minggu,Kota Jakarta Selatan,Luas Bangunan 22m²,Sertifikat Hak Milik,N/A,"Rp13,6 Jt/m²"
"Rp1,1 M",Kel. Tebet Barat,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 54m,Hak Guna Bangunan,"Rp20,4 Jt/m²"
Rp400 Jt,Kel. Kebagusan,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 27m,Sertifikat Hak Milik,"Rp14,8 Jt/m²"
Rp345 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp9,9 Jt/m²"
Rp350 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp9,7 Jt/m²"
Rp550 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp16,7 Jt/m²"
Rp359 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp10,9 Jt/m²"
Rp550 Jt,Kel. Cipayung,Kec. Cipayung,Kota Jakarta Timur,Luas Bangunan 24m²,Sertifikat Hak Milik,N/A,"Rp22,9 Jt/m²"
Rp995 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 52m,Sertifikat Hak Milik,"Rp19,1 Jt/m²"
"Rp1,2 M",Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 61m,Sertifikat Hak Milik,"Rp19,7 Jt/m²"
Rp550 Jt,Kel. Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 39m,Hak Guna Bangunan,"Rp14,1 Jt/m²"
Rp950 Jt,Kel. Cipinang Cempedak,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 46m,Sertifikat Hak Milik,"Rp20,7 Jt/m²"
"Rp1,4 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 53m,Sertifikat Hak Milik,"Rp26,4 Jt/m²"
"Rp16,5 M",Kel. Senayan,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 295m,N/A,"Rp55,9 Jt/m²"
"Rp16,5 M",Kel. Senayan,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 295m,N/A,"Rp55,9 Jt/m²"
"Rp1,7 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 41m,Sertifikat Hak Milik,"Rp41,5 Jt/m²"
Rp550 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp13,1 Jt/m²"
"Rp1,9 M",Kel. Tanjung Barat,Kec. Jagakarsa,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 51m,N/A,"Rp37,3 Jt/m²"
Rp250 Jt,Kel. Duri Kepa,Kec. Kebon Jeruk,Kota Jakarta Barat,Luas Bangunan 27m²,Sertifikat Hak Milik,N/A,"Rp9,3 Jt/m²"
"Rp1,1 M",Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 68m,Strata,"Rp16,2 Jt/m²"
Rp700 Jt,Kel. Pesanggrahan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,"Rp18,4 Jt/m²"
"Rp1,2 M",Kel. Senen,Kec. Senen,Kota Jakarta Pusat,Luas Bangunan 36m²,Strata,N/A,"Rp33,3 Jt/m²"
Rp235 Jt,Kel. Petukangan Selatan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp6,5 Jt/m²"
Rp900 Jt,Kel. Kebon Kosong,Kec. Kemayoran,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 89m,Hak Guna Bangunan,"Rp10,1 Jt/m²"
